Date,Open,High,Low,Close,Adj Close,Volume
12/7/2015,2090.419922,2090.419922,2066.780029,2077.070068,2077.070068,4043820000
12/4/2015,2051.23999,2093.840088,2051.23999,2091.689941,2091.689941,4214910000
12/3/2015,2080.709961,2085,2042.349976,2049.620117,2049.620117,4306490000
12/2/2015,2101.709961,2104.27002,2077.110107,2079.51001,2079.51001,3950640000
12/1/2015,2082.929932,2103.370117,2082.929932,2102.629883,2102.629883,3712120000
11/30/2015,2090.949951,2093.810059,2080.409912,2080.409912,2080.409912,4245030000
11/27/2015,2088.820068,2093.290039,2084.129883,2090.110107,2090.110107,1466840000
11/25/2015,2089.300049,2093,2086.300049,2088.870117,2088.870117,2852940000
11/24/2015,2084.419922,2094.120117,2070.290039,2089.139893,2089.139893,3884930000
11/23/2015,2089.409912,2095.610107,2081.389893,2086.590088,2086.590088,3587980000
11/20/2015,2082.820068,2097.060059,2082.820068,2089.169922,2089.169922,3929600000
11/19/2015,2083.699951,2086.73999,2078.76001,2081.23999,2081.23999,3628110000
11/18/2015,2051.98999,2085.310059,2051.98999,2083.580078,2083.580078,3926390000
11/17/2015,2053.669922,2066.689941,2045.900024,2050.439941,2050.439941,4427350000
11/16/2015,2022.079956,2053.219971,2019.390015,2053.189941,2053.189941,3741240000
11/13/2015,2044.640015,2044.640015,2022.02002,2023.040039,2023.040039,4278750000
11/12/2015,2072.290039,2072.290039,2045.660034,2045.969971,2045.969971,4016370000
11/11/2015,2083.409912,2086.939941,2074.850098,2075,2075,3692410000
11/10/2015,2077.189941,2083.669922,2069.909912,2081.719971,2081.719971,3821440000
11/9/2015,2096.560059,2096.560059,2068.23999,2078.580078,2078.580078,3882350000
11/6/2015,2098.600098,2101.909912,2083.73999,2099.199951,2099.199951,4369020000
11/5/2015,2101.679932,2108.780029,2090.409912,2099.929932,2099.929932,4051890000
11/4/2015,2110.600098,2114.590088,2096.97998,2102.310059,2102.310059,4078870000
11/3/2015,2102.629883,2116.47998,2097.51001,2109.790039,2109.790039,4272060000
11/2/2015,2080.76001,2106.199951,2080.76001,2104.050049,2104.050049,3760020000
10/30/2015,2090,2094.320068,2079.340088,2079.360107,2079.360107,4256200000
10/29/2015,2088.350098,2092.52002,2082.629883,2089.409912,2089.409912,4008940000
10/28/2015,2066.47998,2090.350098,2063.110107,2090.350098,2090.350098,4698110000
10/27/2015,2068.75,2070.370117,2058.840088,2065.889893,2065.889893,4216880000
10/26/2015,2075.080078,2075.139893,2066.530029,2071.179932,2071.179932,3385800000
10/23/2015,2058.189941,2079.73999,2058.189941,2075.149902,2075.149902,4108460000
10/22/2015,2021.880005,2055.199951,2021.880005,2052.51001,2052.51001,4430850000
10/21/2015,2033.469971,2037.969971,2017.219971,2018.939941,2018.939941,3627790000
10/20/2015,2033.130005,2039.119995,2026.609985,2030.77002,2030.77002,3331500000
